id,idade,nomeJogador,nacionalidade,nomeClube
261529,24,D. FOMIN,RUSSIA,
247106,21,A. BERNABEI,ARGENTINA,CELTIC
210384,29,R. HAPS,SURINAME,VENEZIA FC
206594,27,S. MARCH,ENGLAND,BRIGHTON & HOVE ALBION
186143,31,O. NORWOOD,NORTHERN IRELAND,SHEFFIELD UNITED
190653,,I. BRIZUELA,MEXICO,
230686,24,J. MAKENGO,FRANCE,UDINESE CALCIO
220175,25,O. KEMEN,FRANCE,YUKATEL KAYSERISPOR
233147,28,R. OSHIMA,JAPAN,KAWASAKI FRONTALE
236639,26,XEKA,PORTUGAL,LOSC LILLE
233061,25,M. PEREIRA LAGE,PORTUGAL,STADE BRESTOIS 29
233493,,J. SANCHEZ,MEXICO,
212476,28,MEDRAN,SPAIN,AL TAAWOUN
255009,20,K. TAYLOR,NETHERLANDS,AJAX
246045,21,P. DE LA VEGA,ARGENTINA,CLUB ATLETICO LANUS
205364,32,F. NOVAK,CZECH REPUBLIC,FENERBAHCE SK
202857,32,K. BELLARABI,GERMANY,BAYER 04 LEVERKUSEN
222467,28,IVI LOPEZ,SPAIN,RAKOW CZESTOCHOWA
190813,29,S. EL SHAARAWY,ITALY,ROMA
226431,23,LEONARDO LOPES,PORTUGAL,KSV CERCLE BRUGGE
165495,25,L. NUNEZ,ARGENTINA,BURSASPOR
210723,30,N. GIEELMANN,GERMANY,1. FC UNION BERLIN
229237,26,M. AKANJI,SWITZERLAND,BORUSSIA DORTMUND
180403,31,WILLIAN,BRAZIL,ARSENAL
231445,23,J. DASILVA,ENGLAND,BRENTFORD
164878,36,L. REFAELOV,ISRAEL,RSC ANDERLECHT
225863,24,O. BOSCAGLI,FRANCE,PSV
224756,25,A. LUSAMBA,FRANCE,AYTEMIZ ALANYASPOR
203574,28,J. STONES,ENGLAND,MANCHESTER CITY
228708,26,L. MARTINEZ QUARTA,ARGENTINA,FIORENTINA
193290,31,M. BRAITHWAITE,DENMARK,FC BARCELONA
139869,33,W. SNEIJDER,NETHERLANDS,OGC NICE
255069,20,NICO GONZALEZ,SPAIN,FC BARCELONA
182945,34,M. GRADEL,COTE D'IVOIRE,DEMIR GRUP SIVASSPOR
244193,24,JOVANE CABRAL,CAPE VERDE ISLANDS,SPORTING CP
214947,26,J. GBAMIN,COTE D'IVOIRE,EVERTON
224490,25,Z. CELIK,TURKEY,ROMA
253290,24,M. VINA,URUGUAY,ROMA
220253,26,MUNIR,MOROCCO,SEVILLA FC
225629,26,T. VALLS,FRANCE,SERVETTE FC
189860,31,KIKO FEMENIA,SPAIN,VILLARREAL CF
201093,28,N. POWELL,ENGLAND,STOKE CITY
215330,27,J. CORREA,ARGENTINA,INTER
207471,,F. VAZQUEZ,ARGENTINA,PARMA
234730,25,V. ROSIER,FRANCE,BESIKTAS JK
202477,28,DEULOFEU,SPAIN,UDINESE CALCIO
225699,27,ANUAR,MOROCCO,REAL VALLADOLID CF
233866,24,O. EDOUARD,FRANCE,CRYSTAL PALACE
212218,28,A. LAPORTE,SPAIN,MANCHESTER CITY
169416,33,C. VELA,MEXICO,LOS ANGELES FC
230206,34,WELLINGTON SABRAO,BRAZIL,FLAMENGO
225151,26,A. TRAORE,MALI,ATAKAS HATAYSPOR
222134,33,T. HAMED,EGYPT,AL ITTIHAD
225085,26,J. BAMBA,FRANCE,LOSC LILLE
208424,28,M. RICCI,ITALY,FATIH KARAGUMRUK S.K.
211338,31,A. CHUMACERO,BOLIVIA,CLUB ALWAYS READY
240638,23,T. REIJNDERS,NETHERLANDS,AZ ALKMAAR
237640,23,N. BAJRAMI,ALBANIA,EMPOLI
152729,35,PIQUE,SPAIN,FC BARCELONA
210697,28,C. NRGAARD,DENMARK,BRENTFORD
215259,29,E. RIGONI,ARGENTINA,AUSTIN FC
223779,27,D. SZYMANSKI,POLAND,AEK ATHENS
241852,22,M. DIABY,FRANCE,BAYER 04 LEVERKUSEN
242434,21,C. JONES,ENGLAND,LIVERPOOL
207993,29,S. KOLASINAC,BOSNIA AND HERZEGOVINA,OLYMPIQUE DE MARSEILLE
232730,25,D. KAMADA,JAPAN,EINTRACHT FRANKFURT
219952,26,L. HENDERSON,SCOTLAND,EMPOLI
